snapshot_no,time,vehicle_id,x,y
13,34.0,32,644872.21,5493501.45
13,34.0,33,646546.98,5492779.92
13,34.0,34,646287.93,5493839.78
13,34.0,35,646285.5,5493558.57
13,34.0,36,645095.67,5493522.69
13,34.0,37,646160.71,5493373.46
13,34.0,38,645736.99,5493244.78
13,34.0,39,645788.26,5493650.4
13,34.0,4,646144.16,5493398.1
13,34.0,40,645780.06,5493653.94
13,34.0,41,645743.84,5493486.5
13,34.0,42,645606.78,5493474.76
13,34.0,43,645055.58,5493723.6
13,34.0,44,646289.37,5493700.42
13,34.0,45,644889.52,5493552.45
13,34.0,46,645365.29,5493895.19
13,34.0,47,644697.27,5493463.55
13,34.0,48,645440.6,5493931.69
13,34.0,5,644968.05,5493565.71
13,34.0,6,645740.57,5493447.13
13,34.0,7,646672.16,5493511.89
13,34.0,8,645737.68,5493432.94
13,34.0,9,645892.67,5493652.71
14,36.0,0,644787.5,5493592.15
14,36.0,1,646322.65,5493546.45
14,36.0,10,646333.34,5493702.41
14,36.0,11,645259.34,5493489.52
14,36.0,12,644925.67,5493658.53
14,36.0,13,645517.77,5493558.62
14,36.0,14,645972.96,5493654.63
14,36.0,15,646292.16,5493697.52
14,36.0,16,645818.6,5493653.18
14,36.0,17,644870.3,5493495.85
14,36.0,18,645370.33,5494026.62
14,36.0,19,644880.14,5493534.8
14,36.0,2,644843.79,5493562.56
14,36.0,20,646335.51,5493455.71
14,36.0,22,646331.51,5493494.68
14,36.0,24,645404.92,5493984.17
14,36.0,25,646336.34,5493468.86
14,36.0,26,646339.12,5493444.25
14,36.0,27,645406.49,5493849.68
14,36.0,28,646149.87,5493703.45
14,36.0,29,646327.24,5493499.91
14,36.0,3,646325.07,5493531.19
14,36.0,30,645589.49,5493719.46
14,36.0,31,645079.65,5493979.94
14,36.0,32,644881.85,5493529.86
14,36.0,33,646520.27,5492808.43
14,36.0,34,646292.1,5493855.87
14,36.0,35,646266.16,5493557.3
14,36.0,36,645127.59,5493513.9
14,36.0,37,646151.29,5493387.48
14,36.0,38,645737.35,5493271.72
14,36.0,39,645820.9,5493649.97
14,36.0,4,646135.65,5493410.8
14,36.0,40,645764.54,5493641.52
14,36.0,41,645750.79,5493510.62
14,36.0,42,645572.75,5493478.35
14,36.0,43,645052.27,5493697.37
14,36.0,44,646259.42,5493696.46
14,36.0,45,644898.31,5493578.33
14,36.0,46,645361.7,5493922.54
14,36.0,47,644704.23,5493478.36
14,36.0,48,645426.17,5493955.18
14,36.0,5,644993.91,5493556.09
14,36.0,6,645761.97,5493441.28
14,36.0,7,646664.7,5493524.47
14,36.0,8,645732.4,5493450.39
14,36.0,9,645868.99,5493652.73
15,38.0,0,644744.55,5493611.14
15,38.0,1,646316.8,5493559.19
15,38.0,10,646303.21,5493701.44
15,38.0,11,645293.31,5493486.27
15,38.0,12,644935.1,5493685.93
15,38.0,13,645512.41,5493589.23
15,38.0,14,645945.56,5493653.76
15,38.0,15,646317.73,5493698.71
15,38.0,16,645794.47,5493653.32
15,38.0,17,644878.63,5493520.37
15,38.0,18,645383.56,5494019.99
15,38.0,19,644870.27,5493505.72
15,38.0,2,644835.73,5493526.67
15,38.0,20,646336.47,5493452.81
15,38.0,22,646328.35,5493511.09
15,38.0,24,645418.8,5493961.07
15,38.0,25,646333.66,5493483.31
15,38.0,26,646338.39,5493457.76
15,38.0,27,645393.55,5493869.1
15,38.0,28,646152.14,5493686.11
15,38.0,29,646330.19,5493484.51
15,38.0,3,646322.74,5493545.86
15,38.0,30,645611.0,5493696.72
15,38.0,31,645054.08,5493976.93
15,38.0,32,644891.75,5493559.01
15,38.0,33,646488.55,5492842.28
15,38.0,34,646296.36,5493871.92
15,38.0,35,646246.79,5493556.03
15,38.0,36,645159.79,5493506.43
15,38.0,37,646141.88,5493401.49
15,38.0,38,645736.74,5493298.18
15,38.0,39,645853.58,5493649.78
15,38.0,4,646126.25,5493425.01
15,38.0,40,645755.62,5493615.52
15,38.0,41,645754.59,5493535.2
15,38.0,42,645538.68,5493481.25
15,38.0,43,645049.26,5493673.33
15,38.0,44,646229.49,5493692.54
15,38.0,45,644903.83,5493593.15
15,38.0,46,645358.43,5493951.24
15,38.0,47,644717.09,5493492.32
15,38.0,48,645411.86,5493978.75
15,38.0,5,645019.9,5493546.82
15,38.0,6,645791.39,5493435.87
15,38.0,7,646657.16,5493537.01
15,38.0,8,645708.35,5493460.45
15,38.0,9,645845.32,5493653.04
16,40.0,0,644702.84,5493611.86
16,40.0,1,646301.48,5493559.62
16,40.0,10,646273.22,5493698.3
16,40.0,11,645327.33,5493483.81
16,40.0,12,644952.05,5493698.09
16,40.0,13,645507.43,5493618.06
16,40.0,14,645918.18,5493652.88
16,40.0,15,646343.31,5493699.53
16,40.0,16,645778.38,5493653.85
16,40.0,17,644886.99,5493544.98
16,40.0,18,645396.5,5493998.38
16,40.0,19,644866.21,5493488.8
16,40.0,2,644837.95,5493498.15
16,40.0,20,646344.55,5493448.41
16,40.0,22,646325.65,5493527.55
16,40.0,24,645432.9,5493938.09
16,40.0,25,646330.92,5493497.74
16,40.0,26,646335.92,5493471.14
16,40.0,27,645372.1,5493877.8
16,40.0,28,646138.57,5493677.46
16,40.0,29,646333.04,5493469.06
16,40.0,3,646316.95,5493559.12
16,40.0,30,645632.51,5493673.99
16,40.0,31,645028.55,5493973.68
16,40.0,32,644899.83,5493582.81
